Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
1,1,KAN,Eric Fisher,T,22,2020,0,1,7,52,52,114,0,0,0,0,0,0,0,0,1,-3,1,,,,Central Michigan,
1,2,JAX,Luke Joeckel,T,21,2017,0,0,3,20,16,50,0,0,0,0,0,0,0,0,0,0,0,1,,,Texas A&M,College Stats
1,3,MIA,Dion Jordan,DE,23,2020,0,0,0,8,4,60,0,0,0,0,0,0,0,0,0,0,0,80,,12.5,Oregon,College Stats
1,4,PHI,Lane Johnson,T,23,2020,1,3,6,53,53,99,0,0,0,0,0,0,0,0,0,0,0,,,,Oklahoma,College Stats
1,5,DET,Ezekiel Ansah,DE,24,2020,0,1,5,39,37,93,0,0,0,0,0,0,0,0,0,0,0,174,,50.5,BYU,College Stats
1,6,CLE,Barkevious Mingo,LB,22,2020,0,0,2,23,10,122,0,0,0,0,0,1,11,0,0,0,0,177,1,12.5,LSU,College Stats
1,7,ARI,Jonathan Cooper,G,23,2018,0,0,2,14,6,46,0,0,0,0,0,0,0,0,0,0,0,,,,North Carolina,College Stats
1,8,STL,Tavon Austin,WR,23,2019,0,0,4,25,22,96,0,1,0,0,0,196,1340,10,215,2006,15,1,,,West Virginia,College Stats
1,9,NYJ,Dee Milliner,DB,21,2015,0,0,1,6,6,21,0,0,0,0,0,0,0,0,0,0,0,50,3,,Alabama,College Stats
1,10,TEN,Chance Warmack,G,21,2018,0,0,3,22,20,68,0,0,0,0,0,0,0,0,0,0,0,,,,Alabama,College Stats
1,11,SDG,D.J. Fluker,T,22,2020,0,0,6,40,31,104,0,0,0,0,0,0,0,0,0,0,0,,,,Alabama,College Stats
1,12,OAK,D.J. Hayden,DB,23,2020,0,0,2,14,8,91,0,0,0,0,0,0,0,0,0,0,0,282,4,4.5,Houston,College Stats
1,13,NYJ,Sheldon Richardson,DT,22,2020,0,1,8,55,33,117,0,0,0,0,0,4,4,2,0,0,0,266,1,30,Missouri,College Stats
1,14,CAR,Star Lotulelei,DT,23,2019,0,0,7,43,27,108,0,0,0,0,0,0,0,0,0,0,0,105,1,13.5,Utah,College Stats
1,15,NOR,Kenny Vaccaro,DB,22,2020,0,0,7,31,20,108,0,0,0,0,0,0,0,0,0,0,0,429,10,11.5,Texas,College Stats
1,16,BUF,EJ Manuel,QB,23,2017,0,0,1,10,10,30,343,590,3767,20,16,96,339,4,0,0,0,,,,Florida St.,College Stats
1,17,PIT,Jarvis Jones,LB,23,2016,0,0,1,17,17,50,0,0,0,0,0,0,0,0,0,0,0,84,2,6,Georgia,College Stats
1,18,SFO,Eric Reid,DB,21,2019,0,1,7,32,25,99,0,0,0,0,0,0,0,0,0,0,0,404,11,6,LSU,College Stats
1,19,NYG,Justin Pugh,T,23,2020,0,0,8,36,25,98,0,0,0,0,0,0,0,0,0,0,0,,,,Syracuse,College Stats
1,20,CHI,Kyle Long,G,24,2019,0,3,6,41,41,77,0,0,0,0,0,0,0,0,1,-1,0,,,,Oregon,
1,21,CIN,Tyler Eifert,TE,22,2020,0,1,2,17,17,70,0,0,0,0,0,0,0,0,213,2401,26,,,,Notre Dame,College Stats
1,22,ATL,Desmond Trufant,DB,22,2020,0,1,7,34,34,103,0,0,0,0,0,0,0,0,0,0,0,288,14,6,Washington,College Stats
1,23,MIN,Sharrif Floyd,DT,21,2016,0,0,2,13,13,44,0,0,0,0,0,0,0,0,0,0,0,57,,9.5,Florida,College Stats
1,24,IND,Bjoern Werner,DE,23,2015,0,0,1,10,10,38,0,0,0,0,0,0,0,0,0,0,0,58,,6.5,Florida St.,College Stats
1,25,MIN,Xavier Rhodes,DB,23,2020,1,3,7,41,41,116,0,0,0,0,0,0,0,0,0,0,0,339,12,,Florida St.,College Stats
1,26,GNB,Datone Jones,DE,23,2020,0,0,0,10,9,68,0,0,0,0,0,0,0,0,0,0,0,64,1,10,UCLA,College Stats
1,27,HOU,DeAndre Hopkins,WR,21,2020,3,4,8,59,59,122,1,3,6,1,1,3,11,0,717,9621,59,,,,Clemson,College Stats
1,28,DEN,Sylvester Williams,DT,24,2020,0,0,4,29,22,101,0,0,0,0,0,0,0,0,0,0,0,92,,5.5,North Carolina,College Stats
